"%s. Please try again or attempt refreshing the page.","%s. Prøv venligst igen eller prøv at genindlæse siden."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />For at bruge dette modul skal du have en eksisterende produktions- eller sandbox-Braintree-konto. Du kan ansøge på <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero-integration leveret af <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Du skal først konfigurere sektionen <strong>Braintree v.zero - Configuration</strong> med oplysningerne om din Braintree-konto."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorisér og hæv</strong> - Vi afregner transaktionen med det samme i kassen."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorisér</strong> - Autoriserer kun betalingen og gemmer et token, transaktionen bliver ikke afregnet.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Fremtidige betalinger</strong> - Giver os mulighed for at gemme kundens PayPal-konto til senere køb og brug med Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Enkelt betaling</strong> - Kræver kun, at kunden logger ind, og vi vil kun kunne foretage en enkelt betaling<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Advarsel:</strong> Brug ikke 'Sandbox' i et produktionsmiljø.<br />"
"Amount","Beløb"
"Are you sure you want to remove this payment method?","Er du sikker på, at du vil fjerne denne betalingsmetode?"
"Australia","Australien"
"Authorization Expired","Autorisation udløbet"
"Authorize","Autorisér"
"Authorize & Capture","Autorisér og hæv"
"Authorized","Autoriseret"
"Authorizing","Autoriserer"
"Braintree Account Details","Braintree-kontooplysninger"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree tilbyder en direkte integration med Kount, vores partner, der leverer avanceret teknologi til afsløring af svindel. For at bruge denne funktion skal du behandle mindst 2500 transaktioner om måneden, og du vil blive pålagt yderligere gebyrer fra Kount for deres tjenester. Kontakt accounts@braintreepayments.com for at komme i gang. Du kan se flere oplysninger <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">her</a>."
"Braintree PHP SDK Version","Braintree PHP SDK-version"
"Braintree Status","Braintree-status"
"Braintree Transactions","Braintree-transaktioner"
"Braintree v.zero - Configuration","Braintree v.zero - Konfiguration"
"Braintree v.zero - Credit Card","Braintree v.zero - Kreditkort"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Køb nu"
"Canada","Canada"
"Cancel","Annullér"
"Capture","Hæv"
"Capture Action","Hævningshandling"
"Card Number","Kortnummer"
"Card Verification Number","Kortverifikationsnummer"
"Checkout with PayPal","Betal med PayPal"
"Close","Luk"
"Complete checkout with","Gennemfør betaling med"
"Complete Order Status","Ordrestatus ved gennemførelse"
"Credit Card Number","Kreditkortnummer"
"Credit Card Types","Kreditkorttyper"
"CSV","CSV"
"Currency","Valuta"
"CVV","CVV"
"CVV Verification","CVV-verifikation"
"Debug","Fejlfinding"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Fejlfinding vil medføre, at der skrives en log til filen <strong>var/log/gene_braintree.log</strong>. Da ingen kreditkortdata nogensinde når serveren, vil denne fil aldrig indeholde afgørende kundeoplysninger."
"Display","Vis"
"Enable 3D Secure","Aktivér 3D Secure"
"Enabled","Aktiveret"
"Enable Vault","Aktivér Vault"
"Enable Vault/Saved Cards","Aktivér Vault/gemte kort"
"Environment","Miljø"
"Excel XML","Excel XML"
"Expiration Date","Udløbsdato"
"Expires:","Udløber:"
"Expiry Month","Udløbsmåned"
"Expiry Year","Udløbsår"
"Failed","Mislykkedes"
"Features","Funktioner"
"France","Frankrig"
"Future Payments","Fremtidige betalinger"
"Gateway Rejected","Gateway afvist"
"Gateway rejected: AVS","Der opstod et problem under validering af din faktureringsadresse."
"Germany","Tyskland"
"Grand total:","Samlet total:"
"Great Britain & Ireland","Storbritannien og Irland"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Hvis du kun autoriserer transaktioner, kan du definere, på hvilket tidspunkt de skal indsendes til afregning."
"Invoice","Faktura"
"is invalid.","er ugyldig."
"Italy","Italien"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Sprogindstilling"
"Magento Braintree v.zero Version","Magento Braintree v.zero-version"
"Magento Order ID","Magento-ordre-ID"
"Magento Status","Magento-status"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Nyt kreditkort"
"New Order Status","Ny ordrestatus"
"Payment Action","Betalingshandling"
"Payment from Applicable Countries","Betaling fra relevante lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Payment Information","Betalingsoplysninger"
"Payment Type","Betalingstype"
"Place Order","Afgiv ordre"
